CMDLINE streamlit run streamlitapp.py
MEM 0.300781 1612676083.0524
MEM 11.421875 1612676083.1544
MEM 19.105469 1612676083.2547
MEM 20.519531 1612676083.3555
MEM 29.128906 1612676083.4581
MEM 34.609375 1612676083.5587
MEM 42.304688 1612676083.6591
MEM 49.925781 1612676083.7619
MEM 56.507812 1612676083.8623
MEM 62.328125 1612676083.9674
MEM 70.519531 1612676084.0678
MEM 71.812500 1612676084.1684
MEM 75.937500 1612676084.2706
MEM 81.824219 1612676084.3748
MEM 86.886719 1612676084.4778
MEM 89.722656 1612676084.5824
MEM 92.921875 1612676084.6864
MEM 105.375000 1612676084.7899
MEM 116.093750 1612676084.8941
MEM 124.718750 1612676084.9952
MEM 131.976562 1612676085.0993
MEM 138.605469 1612676085.2001
MEM 144.187500 1612676085.3040
MEM 150.968750 1612676085.4065
MEM 159.128906 1612676085.5097
MEM 230.054688 1612676085.6137
MEM 298.292969 1612676085.7162
MEM 410.953125 1612676085.8165
MEM 430.351562 1612676085.9196
MEM 446.449219 1612676086.0247
MEM 466.226562 1612676086.1303
MEM 483.562500 1612676086.2343
MEM 483.562500 1612676086.3379
MEM 483.902344 1612676086.4422
MEM 483.933594 1612676086.5447
MEM 483.937500 1612676086.6480
MEM 483.937500 1612676086.7529
MEM 483.941406 1612676086.8548
MEM 146.902344 1612676086.9564
MEM 154.406250 1612676087.0581
MEM 158.269531 1612676087.1587
MEM 216.687500 1612676087.2593
MEM 347.000000 1612676087.3641
MEM 469.910156 1612676087.4648
MEM 496.613281 1612676087.5676
MEM 500.160156 1612676087.6680
MEM 689.238281 1612676087.7705
MEM 789.171875 1612676087.8714
MEM 788.789062 1612676087.9719
MEM 788.789062 1612676088.0751
MEM 788.792969 1612676088.1791
MEM 788.792969 1612676088.2813
MEM 788.792969 1612676088.3860
MEM 788.792969 1612676088.4881
MEM 788.792969 1612676088.5896
MEM 788.792969 1612676088.6933
MEM 788.792969 1612676088.7985
MEM 788.792969 1612676088.8987
